text,favoriteCount,retweetCount
#necessityisthemotherofinvention if the #salon is closed but I can get my #mudmask .... I may be have to https://t.co/pVXXIJmCa2,0,0
"#friday #weekendvibes #weekend
#osteopathy #manualtherapy #toronto #scarborough #pain #relieve #health #wellness https://t.co/Vnac436SWt",0,0
"So happy its the weekend 

#weekend #relax #candles #home #cleanhouse #freshbedding #tv #reading #music #selfcare https://t.co/aoYkJmT4LO",0,0
"MY OFFICE TODAY

SUBTLE

Its Different, its Noice
Kath &amp; Kim 

Happy Saturday!!

#myofficetoday
#myofficeview https://t.co/QhgVQAFYuX",0,0
Happy Friday!! Whats your plan for this weekend? Im probably just going to watch Netflix and nap  https://t.co/wlFm7TMVAN,0,0
"Weekends might not be the same as before, but have a wonderful weekend everyone! Sending you lots of love 

.
.
. https://t.co/PR4klq1H3o",0,0
"Have a beautiful weekend! 
#weekend #PictureOfTheDay https://t.co/r8yidpdzyW",1,0
DL DAY14 - Its Friday Eve and our leader @IHHSPrincipal said it best. Give yourself permission to enjoy your weeke https://t.co/SszuJTmxho,1,0
"#flashbackfriday to three years ago at the Hall of Fame marathon!
.
.
.
.
.
.
.
.
.
.
/
.
#fbf #tgif #fb #flashback https://t.co/UzkCG66uLP",1,0
Forgot to post this mornings sunrise in Calgary. It was another beauty! #yyc #calgary #sunrise #friday #weekend https://t.co/5bQuXmLbxG,0,0
#TBT using the @ColourPopCo #yesplease palette! One of my faves  &amp; my fave brand of lashes @KissProducts style v https://t.co/bpZOOOMn0r,5,1
Going to the liquor store immediately after work on a Friday is one of my favorite activities #weekend,0,0
"Happy weekend. 

#weekendhumour #weekend #kink #kinky #kinkyweekend #stayhome #stayhomesavelives #Covid19UK https://t.co/Ra8IEB9Agf",0,0
"48'e 25 dk. kald! 
Alkol ve sigara durumlarnz hatrlataym dedim.
Ayazda kalmayn sonra...
#Weekend https://t.co/skD5c6zUOw",1,1
"Freshly picked #asparagus from @crockfordfarm and steamed, topped with crispy pancetta, poached egg and #homemade h https://t.co/eLcgyeolpv",0,0
"Set the tone for the #Weekend 
Get dinner delivered for $500 or FREE for orders over $5000! 

#FromageBrasserie https://t.co/Z4sxjkNalY",0,0
"
Good morning! Have a nice weekend
#ohayo #goodmorning #saturday #weekend
#",0,0
Future me in about T-minus 2 hours! Except Im all out of vino! Illustration from the lovely @miraalou  https://t.co/TlMa7u7qhD,0,0
"Its #Family #Friday!
What do you guys have planned for your family this #weekend?
Feel free to send in pictures/vi https://t.co/m1b1qsafEz",0,0
"Twitter asks, what's happening? Defending some cities! Trouble brewing and it's up to you to stop it. https://t.co/6GFmEgZIee",4,0
